Comune;Totale;alberghieri;extralberghieri;italiani;stranieri;semestre estivo;semestre invernale;Saldo Estate Invermo;;
094 Sluderno;11910;10833;1077;2011;9899;8353;3557;4796;;
095 Stelvio;88650;76828;11822;24890;63760;47405;41245;6160;;
096 Terento;35433;32590;2843;13135;22298;20695;14738;5957;;
097 Terlano;25579;19346;6233;6310;19269;18806;6773;12033;;
098 Termeno s.s.d.v.;37499;26454;11045;2376;35123;32255;5244;27011;;
099 Tesimo;27312;17378;9934;2590;24722;22791;4521;18270;;
100 Tires;25498;22932;2566;5439;20059;20083;5415;14668;;
101 Tirolo;140844;127551;13293;11978;128866;115303;25541;89762;;
102 Trodena nel parco naturale;11232;10500;732;3262;7970;7551;3681;3870;;
103 Tubre;4766;4309;457;1091;3675;3246;1520;1726;;
104 Ultimo;35110;30936;4174;9927;25183;21211;13899;7312;;
105 Vadena;6640;6283;357;327;6313;5598;1042;4556;;
106 Valdaora;93585;74346;19239;39226;54359;42258;51327;-9069;;
107 Val di Vizze;26024;21787;4237;9621;16403;17152;8872;8280;;
108 Valle Aurina;163719;148001;15718;61163;102556;76610;87109;-10499;;
109 Valle di Casies;47745;35778;11967;28726;19019;27324;20421;6903;;
110 Vandoies;16172;12991;3181;3747;12425;10556;5616;4940;;
111 Varna;39029;27496;11533;12108;26921;26235;12794;13441;;
112 Verano;5054;2715;2339;1102;3952;3965;1089;2876;;
113 Villabassa;33473;22509;10964;21387;12086;22187;11286;10901;;
114 Villandro;32406;29320;3086;4984;27422;22492;9914;12578;;
115 Vipiteno;89860;88304;1556;36343;53517;51976;37884;14092;;
116 Velturno;27426;20786;6640;7264;20162;18607;8819;9788;;
117 La Valle;16508;11752;4756;7371;9137;7841;8667;-826;;
118 Senale-S.Felice;3882;3569;313;1449;2433;3062;820;2242;;
Totale;7002064;5669304;1332760;2441101;4560963;4288082;2713982;1574100;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
;;;;;;;;0;;
