Comune;Latitudine;Longitudine;;;;;;;;;
San Martino in Badia;46.6825185;11.8992407;;;;;;;;466825185;118992407
San Martino in Passiria;46.7848518;11.2284629;;;;;;;;467848518;112284629
San Pancrazio;46.5861437;11.0865725;;;;;;;;465861437;110865725
Santa Cristina Valgardena;46.5589285;11.7283024;;;;;;;;465589285;117283024
Sarentino;46.6426550;11.3580047;;;;;;;;466426550;113580047
Scena;46.6911111;11.1873518;;;;;;;;466911111;111873518
Selva dei Molini;46.8998795;11.8451885;;;;;;;;468998795;118451885
Selva di Val Gardena;46.5564914;11.7547550;;;;;;;;465564914;117547550
Senales;46.7136806;10.8874002;;;;;;;;467136806;108874002
Senale-San Felice;46.4918545;11.1330852;;;;;;;;464918545;111330852
Sesto;46.7026647;12.3503168;;;;;;;;467026647;123503168
Silandro;46.6293888;10.7723703;;;;;;;;466293888;107723703
Sluderno;46.6644866;10.5854671;;;;;;;;466644866;105854671
Stelvio;46.5983986;10.5472142;;;;;;;;465983986;105472142
Terento;46.8314074;11.7811111;;;;;;;;468314074;117811111
Terlano;46.5288317;11.2496420;;;;;;;;465288317;112496420
Termeno sulla strada del vino;46.3426433;11.2430463;;;;;;;;463426433;112430463
Tesimo;46.5630429;11.1714454;;;;;;;;465630429;111714454
Tires;46.4694631;11.5254524;;;;;;;;464694631;115254524
Tirolo;46.6828628;11.1616655;;;;;;;;466828628;111616655
Trodena nel parco naturale;4.6326542;0.1134922;;;;;;;;46326542;1134922
Tubre;46.6454481;10.4639903;;;;;;;;466454481;104639903
Ultimo;46.5481909;11.0037147;;;;;;;;465481909;110037147
Vadena;46.4145370;11.3061111;;;;;;;;464145370;113061111
Val di Vizze;46.8997999;11.4603215;;;;;;;;468997999;114603215
Valdaora;46.7615688;12.0308862;;;;;;;;467615688;120308862
Valle Aurina;46.9970633;11.9804563;;;;;;;;469970633;119804563
Valle di Casies;46.7684733;12.1805875;;;;;;;;467684733;121805875
Vandoies;46.8173749;11.7232496;;;;;;;;468173749;117232496
Varna;46.7389404;11.6397428;;;;;;;;467389404;116397428
Velturno;46.6686958;11.5964144;;;;;;;;466686958;115964144
Verano Brianza;46.6051025;11.2265969;;;;;;;;466051025;112265969
Villabassa;46.7380720;12.1727230;;;;;;;;467380720;121727230
Villandro;46.6313707;11.5393386;;;;;;;;466313707;115393386
Vipiteno;46.8991873;11.4311707;;;;;;;;468991873;114311707
